"scrape_datetime","airport","wait_time_type","terminal","wait_time_subtype","wait_time_value"
"2025-02-25 10:13:01.680725+00:00","JFK","security","Terminal 1","Reg","1"
"2025-02-25 10:13:01.680725+00:00","JFK","security","Terminal 1","TSAPre","0"
"2025-02-25 10:13:01.680725+00:00","JFK","security","Terminal 4","Reg","18"
"2025-02-25 10:13:01.680725+00:00","JFK","security","Terminal 4","TSAPre","4"
"2025-02-25 10:13:01.680725+00:00","JFK","security","Terminal 5","TSAPre","6"
"2025-02-25 10:13:01.680725+00:00","JFK","security","Terminal 5","Reg","12"
"2025-02-25 10:13:01.680725+00:00","JFK","security","Terminal 7","Reg","1"
"2025-02-25 10:13:01.680725+00:00","JFK","security","Terminal 8","Reg","24"
"2025-02-25 10:13:01.680725+00:00","JFK","security","Terminal 8","TSAPre","11"
"2025-02-25 10:13:01.680725+00:00","LGA","security","Terminal A","TSAPre","3"
"2025-02-25 10:13:01.680725+00:00","LGA","security","Terminal A","Reg","1"
"2025-02-25 10:13:01.680725+00:00","LGA","security","Terminal B","Reg","1"
"2025-02-25 10:13:01.680725+00:00","LGA","security","Terminal B","TSAPre","0"
"2025-02-25 10:13:01.680725+00:00","LGA","security","Terminal C","Reg","3"
"2025-02-25 10:13:01.680725+00:00","LGA","security","Terminal C","TSAPre","1"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal A","TSAPre","1"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal A","Reg","1"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal B","TSAPre","1"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal B","Reg","5"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal B","TSAPre","0"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal B","Reg","4"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal B","TSAPre","0"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal B","Reg","2"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal C","Reg","4"
"2025-02-25 10:13:01.680725+00:00","EWR","security","Terminal C","TSAPre","13"
"2025-02-25 10:13:01.680725+00:00","JFK","customs","Terminal 4","Visitor","0"
"2025-02-25 10:13:01.680725+00:00","EWR","customs","Terminal B","Visitor","3"
"2025-02-25 10:13:01.680725+00:00","EWR","customs","Terminal B","US Citizen","2"
